EVENTTYPE;REGISTERDATE;STOPID;ODOMETER;LATITUDE;LONGITUDE;TASKID;LINEID;TRIPID;DATAGRAMID;DATAGRAMDATE;BUSID
0;2-nov-18;502450;1356;34636967;-765252733;383;421;732;5796372744;01-NOV-18 01.00.23.000000 PM;1
0;2-nov-18;502450;1364;34636833;-765252950;383;421;732;5796373512;01-NOV-18 01.00.52.000000 PM;1
0;2-nov-18;502450;1377;34638067;-765251933;383;421;732;5796374338;01-NOV-18 01.01.22.000000 PM;1
0;2-nov-18;502400;31;34638267;-765251800;383;421;732;5796374432;01-NOV-18 01.01.25.000000 PM;1
0;2-nov-18;502400;49;34637783;-765251633;383;421;732;5796375187;01-NOV-18 01.01.53.000000 PM;1
0;2-nov-18;502400;21;34638967;-765250750;383;421;732;5796376011;01-NOV-18 01.02.22.000000 PM;1
0;2-nov-18;502400;26;34639817;-765250250;383;421;732;5796376252;01-NOV-18 01.02.31.000000 PM;1
0;2-nov-18;502400;56;34640033;-765250100;383;421;732;5796377052;01-NOV-18 01.03.01.000000 PM;1
0;2-nov-18;502400;80;34641567;-765249117;383;421;732;5796377793;01-NOV-18 01.03.27.000000 PM;1
0;2-nov-18;502400;106;34639533;-765251117;383;421;732;5796378628;01-NOV-18 01.03.57.000000 PM;1
0;2-nov-18;502050;1648;33789883;-765433100;383;421;732;5796433222;01-NOV-18 01.36.47.000000 PM;1
0;2-nov-18;502150;-1;33772100;-765428533;383;421;732;5796433554;01-NOV-18 01.37.00.000000 PM;1
0;2-nov-18;502050;1955;33770033;-765427883;383;421;732;5796434036;01-NOV-18 01.37.17.000000 PM;1
0;2-nov-18;502150;33;33768183;-765427600;383;421;732;5796434636;01-NOV-18 01.37.39.000000 PM;1
8;2-nov-18;502150;120;33759367;-765425683;383;421;732;5796434961;01-NOV-18 01.37.51.000000 PM;1
0;2-nov-18;502150;357;33739300;-765419433;383;421;732;5796435429;01-NOV-18 01.38.08.000000 PM;1
0;2-nov-18;502200;5;33727667;-765403767;383;421;732;5796435816;01-NOV-18 01.38.22.000000 PM;1
0;2-nov-18;502200;31;33726233;-765400400;383;421;732;5796435910;01-NOV-18 01.38.26.000000 PM;1
8;2-nov-18;502200;5;33725633;-765399317;383;421;732;5796436407;01-NOV-18 01.38.42.000000 PM;1
0;2-nov-18;502150;629;33725500;-765399100;383;421;732;5796436796;01-NOV-18 01.38.57.000000 PM;1
0;2-nov-18;502200;12;33724733;-765397967;383;421;732;5796436892;01-NOV-18 01.39.00.000000 PM;1
0;2-nov-18;502200;45;33723483;-765395717;383;421;732;5796436970;01-NOV-18 01.39.03.000000 PM;1
0;2-nov-18;502200;45;33722200;-765393183;383;421;732;5796437058;01-NOV-18 01.39.06.000000 PM;1
0;2-nov-18;502200;286;33709350;-765373133;383;421;732;5796437898;01-NOV-18 01.39.35.000000 PM;1
0;2-nov-18;502200;286;33709433;-765373267;383;421;732;5796438730;01-NOV-18 01.40.04.000000 PM;1
0;2-nov-18;502200;286;33709450;-765373300;383;421;732;5796439278;01-NOV-18 01.40.23.000000 PM;1
0;2-nov-18;502200;286;33709450;-765373317;383;421;732;5796439413;01-NOV-18 01.40.28.000000 PM;1
0;2-nov-18;502200;286;33709467;-765373317;383;421;732;5796439573;01-NOV-18 01.40.34.000000 PM;1
0;2-nov-18;502200;286;33709467;-765373350;383;421;732;5796440420;01-NOV-18 01.41.03.000000 PM;1
0;2-nov-18;502200;286;33709467;-765373350;383;421;732;5796441264;01-NOV-18 01.41.32.000000 PM;1
0;2-nov-18;502200;310;33708533;-765371933;383;421;732;5796442078;01-NOV-18 01.42.01.000000 PM;1
